School ,Subjects,lab coat,eyeglasses,facial hair,pencil/pen in pocket,unkempt appearance,test tubes,flasks,microscope,bunsen burner,experimental animals,other (symbols of research),books,filing cabinets,other (symbols of knowledge),solutions in glassware,machines,other (signs of technology),scientist gender,scientist race,overall appearance of scientist,Subjectspost,plab coat,peyeglasses,pfacial hair,ppencil/pen in pocket,punkempt appearance,ptest tubes,pflasks,pmicroscope,pbunsen burner,pexperimental animals,pother (symbols of research),pbooks,pfiling cabinets,pother (symbols of knowledge),psolutions in glassware,pmachines,pother (signs of technology),pscientist gender,pscientist race,poverall appearance of scientist,Subjectspostpost,pplab coat,ppeyeglasses,ppfacial hair,pppencil/pen in pocket,ppunkempt appearance,pptest tubes,ppflasks,ppmicroscope,ppbunsen burner,ppexperimental animals,ppother (symbols of research),ppbooks,ppfiling cabinets,ppother (symbols of knowledge),ppsolutions in glassware,ppmachines,ppother (signs of technology),ppscientist gender,ppscientist race,ppoverall appearance of scientist
Hartford ,H3 (drawings averaged),y,n,n,n,n,y,y,n,n,n,test tube rack,n,n,desk,y,n,n,both,don't know,P,H3 (drawings averaged),y,n,n,n,n,n,y,n,n,n,"bubbles, ASU stickers",n,n,desk,y,n,n,m,don't know,P,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hartford ,H3 (drawings averaged),n,y,n,n,n,y,y,n,n,n,n,n,y,n,y,n,n,m,don't know,N,H3 (drawings averaged),y,n,n,n,n,n,y,n,n,n,n,n,y,desk,y,n,n,f,don't know,P,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hartford ,H3 (drawings averaged),n,n,n,n,n,n,y,n,n,n,clipboard,n,y,n,y,n,n,f,don't know,P,H3 (drawings averaged),y,y,n,n,n,y,y,n,n,n,clipboard,n,y,n,n,n,n,f,don't know,P,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hartford ,H3 (drawings averaged),n,n,n,n,y,n,y,n,n,n,whiteboard,n,n,desk,y,n,n,f,don't know,S,H3 (drawings averaged),n,n,n,n,y,n,y,n,n,n,whiteboard,n,y,n,y,n,n,don't know,don't know,S,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hartford ,H3 (drawings averaged),y,n,n,n,n,n,y,n,n,n,n,n,y,desk,y,n,n,f,asian,P,H3 (drawings averaged),n,n,n,y,n,n,y,n,n,n,whiteboard,n,y,n,y,n,n,f,don't know,P,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hartford ,H3 (drawings averaged),n,n,n,n,n,y,n,n,n,n,clipboard,n,n,desk,n,y (lightbulb),n,f,don't know,P,H3 (drawings averaged),NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,H3 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Patterson ,P4 (drawings averaged),n,n,n,y,n,n,n,n,n,y,n,n,n,desk,n,y (incubator),n,m,don't know,P,P4 (drawings averaged),n,y,n,n,n,n,y,n,n,n,dry ice,n,n,desk,y,y (lightbulb),n,f,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,y,n,y,y,n,n,n,n,y,n,n,n,electric plug,n,"y (electric equipment, lightbulb)",n,m,don't know,P,P4 (drawings averaged),y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,m,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,y,n,n,y,t,y,n,y,n,n,n,n,n,y,y ((lightbulb),y (circuit),m,don't know,S,P4 (drawings averaged),n,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,don't know,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,n,n,n,n,n,n,n,n,n,laptop,n,n,desk,n,n,n,m,don't know,P,P4 (drawings averaged),n,n,n,n,y,n,y,n,n,n,n,n,n,desk,y,"y (lightbulb, glowball",n,don't know,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
