School ,Subjects,lab coat,eyeglasses,facial hair,pencil/pen in pocket,unkempt appearance,test tubes,flasks,microscope,bunsen burner,experimental animals,other (symbols of research),books,filing cabinets,other (symbols of knowledge),solutions in glassware,machines,other (signs of technology),scientist gender,scientist race,overall appearance of scientist,Subjectspost,plab coat,peyeglasses,pfacial hair,ppencil/pen in pocket,punkempt appearance,ptest tubes,pflasks,pmicroscope,pbunsen burner,pexperimental animals,pother (symbols of research),pbooks,pfiling cabinets,pother (symbols of knowledge),psolutions in glassware,pmachines,pother (signs of technology),pscientist gender,pscientist race,poverall appearance of scientist,Subjectspostpost,pplab coat,ppeyeglasses,ppfacial hair,pppencil/pen in pocket,ppunkempt appearance,pptest tubes,ppflasks,ppmicroscope,ppbunsen burner,ppexperimental animals,ppother (symbols of research),ppbooks,ppfiling cabinets,ppother (symbols of knowledge),ppsolutions in glassware,ppmachines,ppother (signs of technology),ppscientist gender,ppscientist race,ppoverall appearance of scientist
Weinberg,WBG36,n,n,n,n,n,n,n,n,n,n,observatory,n,n,desk,n,y (telescopes),n,f,don't know,P,WBG36,N,N,n,n,n,n,n,n,n,n,lightning bolt,n,y,desk,n,lightbulbs,n,f,don't know,P,WBG36,y,y,n,n,n,n,n,y,n,n,cases with liquid,n,n,n,y,n,door says LAB,don't know,don't know,N
Weinberg,WBG37,y,n,n,n,y,n,n,n,n,n,n,n,n,desk,n,n,n,m,don't know,P,WBG37,Y,n,n,n,y,n,n,n,n,n,van der graaph generator,n,n,desk,n,n,n,don't know,don't know,P,WBG37,n,n,n,n,n,n,y,n,n,n,fumes,n,y,poison sign,y,n,n,don't know,don't know,N
Weinberg,WBG38,y,n,n,n,n,n,n,n,n,n,n,y,y,desk,n,y (robot),n,m,white,"E,P",WBG38,Y,N,N,N,n,n,n,n,n,n,robot,y,y,n,n,y (mechanical arms),n,m,don't know,"E, S",WBG38,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,don't know,don't know,N
Weinberg,WBG39,y,n,n,y,n,n,n,n,n,n,circuit ,n,n,desk,n,y (batteries),n,f,don't know,P,WBG39,y,n,n,y,n,n,y,n,n,n,n,n,y,desk,y,n,n,f,don't know,P,WBG39,y,n,n,y,n,n,n,n,n,n,n,n,n,self drivign car,n,"y, car",car,don't know,don't know,N
Weinberg,WBG40,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,both,don't know,P,WBG40,Y,N,n,n,n,n,y,n,n,n,n,n,n,n,y,y (unknown machine),n,don't know,don't know,N,WBG40,y,y,n,y,n,n,y,n,y,y,test tube rack,n,n,n,y,n,word chemicals,male,don't know,E
Weinberg,WBG41,n,y,n,n,n,n,n,n,n,n,"light bubs, wires",n,n,desk,n,n,n,m,don't know,P,WBG41,N,Y,N,N,N,N,Y,N,N,N,liquid nitrogen,n,n,n,n,n,n,m,don't know,P,WBG41,n,y,n,n,n,n,y,n,n,n,lab bench,n,n,n,y,n,n,f,don't know,P
Weinberg,WBG42,n,n,n,n,n,n,n,n,n,n,meteoroligist's office,n,n,"whiteboard, desk",n,y (computer),n,both,don't know,N,WBG42,Y,n,n,n,n,n,y,n,n,n,"liquid nitrogen, dry ice",n,n,n,n,y (monitor),n,f,don't know,P,WBG42,n,n,n,n,n,n,n,n,n,n,space suit,n,n,rocket,n,n,oxygen tank,f,don't know,
Weinberg,WBG43,n,n,n,n,n,n,n,n,n,n,rocks,n,n,n,n,n,n,f,don't know,"E,P",WBG43,N,n,n,n,n,n,n,n,n,n,earth,n,n,n,n,n,n,f,don't know,n,WBG43,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,don't know,don't know,N
Weinberg,WBG44,n,n,n,n,n,n,n,n,n,n,"bones,tools",n,n,n,n,n,n,m,don't know,P,WBG44,N,Y,N,N,n,n,n,n,n,n,"bones, tools",n,n,n,n,y (helicopter),n,don't know,don't know,P,WBG44,n,y,n,n,n,y,n,n,n,n,beaker,n,n,Virus,n,n,n,don't know,don't know,P
Weinberg,WBG45,N,y,n,n,n,y,n,n,n,n,thermometer,n,n,desk,n,n,n,f,don't know,P,WBG45,y,n,n,y,n,n,n,n,n,n,van der graaph generator,n,n,college,n,n,n,f,don't know,P,WBG45,n,y,n,n,n,n,y,n,n,n,"rock, person studies rocks",n,n,n,n,n,Word Science,don't know,don't know,P
Weinberg,WBG46,n,n,n,n,n,n,n,n,n,n,n,n,n,desk,n,y (robo-frog),n,m,don't know,N,WBG46,N,Y,n,n,n,n,n,n,n,n,lightbulbs,n,n,desk,n,"wires, battery",n,m,don't know,P,WBG46,n,n,y,n,n,n,y,n,n,n,radium,n,n,word lab,n,n,n,m,don't know,P
Weinberg,WBG47,n,N,n,n,n,n,n,n,n,n,light bubs,n,n,desk,n,"y (wires, battery)",n,f,don't know,N,WBG47,n,y,n,n,n,n,y,n,n,n,gloves,n,n,desk,y,n,n,f,don't know,P,WBG47,n,n,n,n,n,n,y,n,n,n,"fumes, bench",n,n,"ACID, ""I wonder""",y,n,n,f,don't know,N
Weinberg,WBG48,n,n,n,n,y,n,n,n,n,y,cases for animals,n,n,desk,n,n,n,f,don't know,p,WBG48,n,y,n,n,n,n,y,n,n,y,liquid nitrogen,n,n,desk,y,n,"cages, pills",f,don't know,p,WBG48,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,don't know,P
Weinberg,WBG49,n,y,n,n,n,y,n,n,n,n,"computer screens, NASA symbol",n,n,desk,n,y,n,f and m (two people),don't know,p,WBG49,n,y,n,n,n,n,n,n,n,n,static electicity,n,n,n,n,y,n,f,don't know,P,WBG49,n,y,n,n,n,n,n,n,n,n,fumes,n,n,n,y,n,pipes,f,don't know,S
Weinberg,WBG50,n,y,n,n,y,n,f,n,n,n,lab bench,n,n,n,y,n,bubbles,m,don't know,e,WBG50,n,y,n,n,y,y,y,n,n,n,lab bech,n,n,n,y,n,bubbles,m,don't know,E,WBG50,n,n,n,n,n,n,y,n,n,n,n,n,n,word science,n,n,n,don't know,don't know,N
Weinberg,WBG51,y,y,n,y,n,y,y,n,n,n,"lab bench, notebook",n,n,desk,y,n,camera,f and m (two people),don't know,P,WBG51,y,y,n,n,n,y,y,n,n,y,lab bench,n,n,NASA,n,n,Kaboom,f,don't know,P,WBG51,n,n,n,n,n,y,n,n,n,y,test tube rack,n,n,NASA testing center,y,n,n,f,don't know,N
Weinberg,WBG52,y,n,n,n,n,n,y,n,n,n,computer,n,n,lights,y,"y (lights, ac, computer)",fumes,m,don't know,S,WBG52,y,y,y,n,y,n,y,n,n,n,lab bench,n,n,"battery, bulbs",y,y,Kaboom,m,don't know,E,WBG52,n,n,n,n,n,n,y,n,n,n,lab bench,n,n,word potion,y,n,n,m,don't know,N
Weinberg,WBG53,n,n,n,n,n,n,y,n,n,n,pestle mortar,n,n,desk,n,n,plants,f,don't know,P,WBG53,n,n,n,n,n,n,y,n,n,n,"rocket, hydrogen flask",n,n,desk,y,n,fumes,f,don't know,P,WBG53,n,n,n,n,n,n,n,n,n,n,n,n,n,"museum, egyptian mummy",n,n,n,f,don't know,N
Weinberg,WBG54,y,y,n,n,n,y,n,n,n,n,test tube rack,n,n,n,y,n,bubbles,f,don't know,P,WBG54,y,y,n,n,n,y,n,n,n,y,"word ""DNA""",n,n,bubbles,y,n,n,don't know,don't know,P,WBG54,n,n,n,n,n,n,n,n,n,n,n,n,y,"rock ""what kidn of rock is this""",n,n,n,don't know,don't know,N
Weinberg,WBG55,y,y,y,n,y,y,n,n,n,n,globe,n,n,"desk, buttons, whiteboard",y,y,"kaboom, equations",m,don't know,"S, E",WBG55,n,y,y,n,y,n,n,n,n,n,"TNT, bomb",n,n,fumes,n,"y (rockets, screen)",boom,m,don't know,"S, E",WBG55,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,don't know,don't know,P
Weinberg,WBG56,y,n,n,n,n,y,y,n,n,y,"hamster wheel, cases",n,n,"tables, gadtes",y,y,"buubles, boom",m,don't know,E,WBG56,n,n,y,n,y,y,y,n,n,y,"connecting tubes, globe",n,n,"bubbles, beep, fumes, ",y,y,sounds,don't know,don't know,"S, E",WBG56,y,y,n,n,n,y,y,n,y,y,"other tubes, beaker",n,n,n,y,n,n,m,don't know,S
Weinberg,WBG57,n,y,n,y,n,n,n,n,n,n,"notebook, graph, shapes",n,n,graphs,n,n,n,f,don't know,P,WBG57,n,y,n,y,n,y,y,n,n,n,"clip board, graph",n,n,graph,y,y,graphs,f,don't know,P,WBG57,n,y,n,n,n,y,y,n,n,n,n,n,y,n,y,n,n,f,don't know,P
Weinberg,WBG58,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,":science stuff label""",dont know,don't know,n,WBG58,y,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,f,don't know,P,WBG58,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,batteries and wires,don't know,don't know,N
Weinberg,WBG59,n,n,n,n,n,n,y,n,n,y,some stack,n,n,lab bench,y,n,n,m,don't know,P,WBG59,n,n,n,n,y,n,n,n,n,n,"cold ice, lab bench",n,n,globe,n,n,n,don't know,don't know,P,WBG59,n,n,n,n,n,n,n,n,n,n,dry ice,n,n,n,n,n,n,don't know,don't know,N
Weinberg,WBG60,n,y,n,n,n,n,n,n,n,y,lab bench,n,n,lab bench,n,n,speech of bugs,m,don't know,P,WBG60,n,y,y,n,n,n,y,n,n,n,liquid nitrogen,n,n,lab bench,y,n,fumes,m,don't know,P,WBG60,n,y,n,n,n,y,y,n,n,n,lab bench,n,n,n,y,n,n,f,don't know,P
Weinberg,WBG61,y,n,n,n,n,n,y,y,n,n,lab bench,n,n,lab bench,y,n,electric bolt,f,don't know,P,WBG61,y,y,n,n,n,n,y,n,n,n,lab bench,n,n,lab bench,y,n,n,f,don't know,P,WBG61,n,n,n,n,n,y,y,n,n,n,dry ice,n,n,2degree,y,n,lab bench,f,don't know,P
Weinberg,WBG62,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,don't know,N,WBG62,n,y,n,n,n,n,n,n,n,n,lab bench,n,n,lab bench,n,n,n,f,don't know,P,WBG62,n,y,n,n,n,n,n,n,n,n,static electricity globe,n,n,n,n,"globe, bulb",n,f,don't know,N
Weinberg,WBG63,n,y,n,n,n,n,y,n,n,y,lab bench,n,n,"light bulbs, tubes",y,y,fumes,dont know,don't know,E,WBG63,n,y,n,n,y,y,y,n,n,y,lab bench,n,n,lab bench,n,y,fumes,don't know,don't know,,WBG63,y,n,n,n,n,y,y,n,n,y,tubes,n,n,n,y,n,n,don't know,dont' know,E
Patterson ,P3-1,y,n,n,n,n,n,y,n,n,n,n,n,n,desk,n,n,n,don't know,caucasian/white,P,P3-1,y,n,n,n,n,y,y,y,n,n,n,n,n,desk,y,n,n,m,don't know,P,P3-1,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-2,n,y,y,n,y,n,n,n,n,n,"pickaxe, bones",n,n,n,n,n,n,m,don't know,P,P3-2,n,y,n,y,y,n,y,n,n,n,radiation suit,n,n,desk,y,n,n,m,don't know,E,P3-2,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-3,y,y,n,n,n,n,y,n,n,n,n,y,n,desk,y,n,n,m,don't know,N,P3-3,y,y,n,n,n,n,y,n,n,n,n,n,n,"desk, whiteboard",y,y (van der graaf generator),n,m,don't know,P,P3-3,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-4,y,y,n,n,n,n,y,n,n,n,n,n,n,"desk, whiteboard",y,n,n,m,don't know,P,P3-4,Y,Y,N,N,Y,n,y,n,n,n,n,n,y,"desk, whiteboard",y,y (van der graaf generator),n,m,don't know,E,P3-4,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-5,Y,Y,Y,n,y,n,y,n,n,n,n,n,y,desk,n,n,n,m,don't know,S,P3-5,Y,Y,Y,n,y,n,y,n,n,n,n,n,y,desk,n,n,n,m,don't know,S,P3-5,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-6,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,don't know,don't know,S,P3-6,n,n,n,n,y,n,n,n,n,n,eraser,n,n,n,n,n,n,don't know,don't know,S,P3-6,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-7,n,y,n,y,n,y,n,n,n,n,n,n,n,desk,y,n,n,f,caucasian/white,P,P3-7,Y,Y,N,N,N,n,n,n,n,n,Science is Fun poster,n,n,n,n,n,n,f,don't know,P,P3-7,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-8,y,y,n,y,n,y,n,n,n,n,n,n,n,desk,y,n,n,m,don't know,S,P3-8,Y,Y,N,N,Y,y,n,n,n,n,n,n,n,n,n,n,n,m,don't know,S,P3-8,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-9,y,y,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,P,P3-9,Y,Y,N,N,N,n,n,n,n,n,accounting equipment,y,n,desk,n,n,n,f,don't know,P,P3-9,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-10,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N,DESK,n,n,n,m,don't know,S,P3-10,N,y,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,N,P3-10,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-11,y,n,n,n,n,n,y,n,n,n,n,n,n,desk,yes,n,n,f,don't know,P,P3-11,y,n,n,n,n,n,y,n,n,n,n,n,n,desk,yes,n,n,f,don't know,P,P3-11,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-12,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y (soundproof chamber),n,m,don't know,E,P3-12,N,N,N,N,N,N,N,N,N,N,liquid nitrogen,n,n,n,n,n,n,m,don't know,N,P3-12,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-13,n,n,n,n,n,n,n,n,n,n,van de graaph generator,n,n,n,n,n,n,f,don't know,P,P3-13,Y,N,N,N,N,N,N,N,N,N,Equation for general relativity,n,n,n,n,n,n,f,don't know,p,P3-13,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-14,n,y,y,n,y,y,y,y,n,y,lamp,n,n,desk,y,n,n,m,don't know,N,P3-14,N,Y,Y,N,Y,Y,Y,Y,Y,N,NOTE BOOK,N,N,desk,y,n,y,m,don't know,N,P3-14,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-15,y,n,n,n,n,n,y,n,n,n,"stethescope, movie projector",n,n,table that says chemicals,y,y, n,m,don't know,P,P3-15,N,N,N,N,N,N,Y,N,N,N,"liquid nitrogen, dry ice",n,n,n,y,n,n,m,don't know,P,P3-15,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-16,y,y,n,y,n,y,y,n,y,n,desk,n,n,n,y,y,bubbles,f,don't know,P,P3-16,y,y,N,Y,N,Y,Y,N,Y,N,desk,n,n,n,n,bubbles,y,f,don't know,P,P3-16,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-17,n,n,n,n,n,n,n,n,n,n,n,n,n,nn,n,n,n,m,don't know,E,P3-17,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,m,don't know,E,P3-17,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-18,n,y,n,n,n,n,n,n,y,n,doctor's office,n,y,n,n,n,n,m,don't know,N,P3-18,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,m,don't know,P,P3-18,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-19,n,n,n,n,n,n,n,n,n,n,research conference,n,n,desk,n,n,computers,both,don't know,S,P3-19,y,y,y,n,n,y,y,n,n,n,n,n,y,n,y,n,n,m,don't know,E,P3-19,no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P3-20,N,n,n,n,n,y,y,n,n,n,n,n,n,desk,n,n,n,f,don't know,P,P3-20,N,n,n,n,n,n,N,n,n,n,n,n,n,desk,n,n,n,f,don't know,N,P3-20,no secondary post data ,,,,,,,,,,,,,,,,,,,
Hull ,HUL1,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,don't know,P,HUL1,n,n,n,n,n,n,n,n,n,n,van de graaph machine,n,n,n,n,n,n,m,don't know,P,HUL1,n,n,n,y,n,y,y,n,n,n,paper/clipboard,n,n,desk,n,n,n,m,don't know,N
Hull ,HUL3,Y,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,f,caucasian/white,P,HUL3,Y,y,n,n,n,n,y,n,y,n,n,n,n,desk,n,n,n,f,don't know,P,HUL3,no secondary post data ,,,,,,,,,,,,,,,,,,,
Hull ,HUL4,N,Y,n,n,n,n,n,n,n,n,n,n,n,desk,n,n,n,f,don't know,P,HUL4,n,n,n,n,n,n,y,n,n,n,Science is Fun shirt,n,n,desk,n,n,n,f,african american,P,HUL4,n,n,n,n,n,y,y,n,n,n,"dry ice, bubbling, fumes, chemicals, van de graaff",n,n,desk,y,n,n,can't tell,don't know,P
Hull ,HUL5,N,N,N,N,n,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,HUL5,N,Y,n,n,n,n,n,n,n,n,rocks and minerals,n,n,desk,n,y (light),n,f,don't know,P,HUL5,n,n,n,n,n,n,y,n,n,n,"rocks, magic, electricity, outdoors",n,n,desk,y,n,n,f,don't know,P
Hull ,HUL6,N,N,N,N,N,N,y,N,n,n,n,n,n,n,n,y (computer),n,m,hispanic,P,HUL6,N,Y,n,n,n,n,n,n,n,y,n,n,n,n,n,y (body-switching machine),n,m,don't know,P,HUL6,n,n,n,n,n,n,n,n,n,n,"telescope, saturn/planet, stars, chalk, brush",n,n,chalkboard,n,n,n,m,don't know,P
Hull ,HUL7,n,y,n,n,n,n,y,n,n,n,pipette,n,n,n,y,n,n,m,don't know,N,HUL7,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y (robot and remote control),n,m,don't know,S,HUL7,n,y,n,n,n,n,n,n,n,n,"robot, machinery, control, crate",n,n,n,n,y(robot),n,m,don't know,N
Hull ,HUL8,N,N,N,N,y,N,N,N,N,N,N,N,N,N,N,N,N,don't know,don't know,N,HUL8,N,N,N,N,y,N,N,N,N,N,N,N,N,desk,N,N,N,don't know,don't know,N,HUL8,no secondary post data ,,,,,,,,,,,,,,,,,,,
Hull ,HUL9,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,f,don't know,P,HUL9,Y,Y,N,N,N,N,Y,n,n,n,"""idea"" lightbulb",y,n,n,y,n,n,f,don't know,P,HUL9,y,y,n,n,y,y,y,n,n,n,"chemicals, booth",n,n,n,y,n,n,m,don't know,E
Hull ,HUL11,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,f,don't know,P,HUL11,n,n,n,n,n,y,y,n,n,n,dry ice,n,n,desk,n,n,n,f,don't know,N,HUL11,y,n,n,n,n,n,y,n,n,n,"watermelon, gas, fumes, fire",n,n,desk,y,n,n,f,don't know,
Hull ,HUL12,n,y,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,P,HUL12,N,y,n,n,n,y,y,n,n,n,whiteboard,n,n,desk,y,n,n,m,don't know,P,HUL12,n,n,n,n,n,y,y,n,n,n,"chemicals, equations (e=mc^2), graudated cylinder",n,n,desk,y,n,n,m,don't know,N
Hull ,HUL13,Y,y,n,n,y,y,y,n,n,n,science is fun poster ,n,y,desk,n,n,n,m,don't know,E,HUL13,Y,y,n,n,y,y,y,n,n,n,"dry ice, science is fun poster ",n,y,desk,y,n,n,m,don't know,P,HUL13,y,y,n,n,n,n,y,n,n,n,"lava, ice, chemicals",n,n,desk,y,n,n,m,don't know,P
Hull ,HUL14,y,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,HUL14,y,n,n,n,n,y,y,n,n,n,whiteboard,n,n,desk,y,n,n,f,don't know,P,HUL14,n,n,n,n,n,y,y,n,n,n,"chemicals, equations, bubbling, fumes",n,n,desk,y,n,n,f,don't know,P
Hull ,HUL15,n,n,n,n,n,n,n,n,n,n,n,n,n,desk,n,n,n,m,don't know,P,HUL15,n,n,n,n,n,n,y,n,n,n,"dry ice, liquid Nitrogen",n,n,desk,y,n,n,m,don't know,P,HUL15,n,y,n,n,n,n,n,n,n,n,"fan, colored fan blades, magnifying glass, rocks, dry ice, racket ball",n,n,desk,n,n,n,m,don't know,P
Hull ,HUL16,N,Y,n,n,y,n,n,n,n,n,science is fun shirt,n,n,desk,n,n,n,f,don't know,N,HUL16,N,Y,n,n,y,y,n,n,n,n,science is fun shirt,n,n,desk,y,n,n,f,don't know,N,HUL16,n,n,n,n,n,n,n,n,n,n,misting umbrella,n,n,"desk, sink",n,n,n,m,don't know,P
Hull ,HUL17,y,y,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,m,don't know,N,HUL17,y,n,n,n,n,n,n,n,n,n,van de graaph machine,n,y,n,n,y (fan),n,m,don't know,P,HUL17,no secondary post data ,,,,,,,,,,,,,,,,,,,N
Hull ,HUL18,Y,N,N,n,y,n,n,n,n,n,electricity,n,n,desk,n,y (battery),n,don't kno,don't know,E,HUL18,Y,N,N,n,y,n,n,n,n,n,"DRY ICE, electricity",n,n,desk,n,y (battery),n,don't kno,don't know,P,HUL18,n,y,n,n,n,n,y,n,n,n,"van de graaff, car, chemicals",n,n,desk,y,n,n,m,don't know,
Hull ,HUL19,n,n,n,n,y (floating head),n,n,n,n,n,gloves,n,n,n,n,n,n,"not sure, floating head",don't know,E,HUL19,n,y,n,n,n,n,y,n,n,n,dry ice,n,y,desk,y,n,n,m,don't know,P,HUL19,n,y,n,n,n,y,y,n,n,n,"skull sign, chemicals",n,n,desk,y,n,n,m,don't know,P
Hull ,HUL20,y,y,n,n,n,n,n,n,n,n,n,n,n,desk,n,n,n,f,don't know,N,HUL20,y,y,n,n,n,y,n,n,n,y (butterflies),"light bulbs, circuit",n,n,desk,y,n,n,f,don't know,P,HUL20,n,y,n,n,n,n,n,n,n,n,"lightbulb, battery, papers",n,n,desk,n,n,n,f,don't know,N
Hull ,HUL21,y,n,n,n,y,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,E,HUL21,y,y,n,n,n,n,y,n,n,n,"dry ice, fog",n,n,desk,y,n,n,f,don't know,P,HUL21,y,n,n,n,n,y,y,n,n,n,"time travel machine, chemicals, bubbling, lightbulbs, fumes",n,n,desk,y,y(time travel machine),,f,don't know,P
Hull ,HUL22,n,n,n,n,n,n,y,n,n,n,beakers,n,n,desk,y,n,n,f,don't know,N,HUL22,n,n,n,n,y,n,y,n,n,n,"fan, graphs",n,n,desk,y,n,n,m,don't know,E,HUL22,no secondary post data ,,,,,,,,,,,,,,,,,,,P
Hull ,HUL23,y,y,n,n,y,n,y,n,n,n,n,n,n,desk,y,y,n,m,don't know,E,HUL23,n,y,n,n,y,n,y,n,n,n,dy ice,n,n,desk,y,n,n,m,don't know,E,HUL23,n,n,n,n,n,y,y,n,y,n,"liquid nitrogen, ice, chemicals, skull sign, mouse",n,n,desk,y,n,n,m,don't know,
Hull ,HUL24,n,n,y,y,n,n,y,n,n,n,"beakers, computer",n,n,desk,y,n,n,m,don't know,N,HUL24,n,n,n,n,y,n,n,n,n,y (butterflies),human body parts,n,n,desk,n,n,n,m,don't know,S,HUL24,y,n,n,y,n,y,y,n,n,n,"chemicals, explosion, fizzing, graduated cylinders, goggles",y,n,"desk, shelves",y,n,n,m,don't know,"P,S"
Hull ,HUL25,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,S,HUL25,y,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,N,HUL25,no secondary post data ,,,,,,,,,,,,,,,,,,,P 
Hull ,HUL26,n,n,n,n,n,n,n,n,n,n,"blue eye, brown eye",n,n,desk,n,n,n,f,don't know,E,HUL26,n,n,n,n,n,n,n,n,n,"sun, trees",n,n,n,n,n,n,n,m,don't know,P,HUL26,n,y,n,n,n,n,n,n,n,n,"earth, rocks",n,n,n,n,n,n,f,white?,
Hull ,HUL27,n,n,n,n,n,n,n,n,n,n,some kind of machine that beeps?,n,n,n,n,y,n,m,don't know,N,HUL27,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,m,don't know,E,HUL27,n,y,n,n,y,n,y,n,n,n,"chemicals, explosions, bubbling, lamp, papers, magnet",n,n,desk,y,n,n,m,don't know,N
Hull ,HUL28,y,n,n,n,n,n,n,n,n,n,car from Back to the Future,n,n,n,n,n,n,m,white,P,HUL28,n,n,n,n,n,n,n,n,n,y,dissection materials,n,n,desk,n,n,n,m,don't know,N,HUL28,n,n,n,n,n,n,n,n,n,n,"liquid nitrogen, racket ball, goggles",n,n,n,n,n,n,f,don't know,P
Hull ,HUL29,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,N,HUL29,y,y,n,n,n,n,n,n,n,n,robot dog,,n,desk,n,y,n,f,don't know,P,HUL29,no secondary post data ,,,,,,,,,,,,,,,,,,,P
Hull ,HUL30,n,n,y,n,n,n,n,n,n,n,light bulb,n,n,desk,n,n,n,m,don't know,N,HUL30,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,don't know,N,HUL30,y,n,n,n,n,n,y,n,n,n,"chemicals, beakers",n,n,desk,y,n,n,m,don't know,
Hull ,HUL31,n,y,n,n,y,y,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,E,HUL31,n,y,n,n,y,y,y,n,n,n,"math, physics equations",n,n,desk,n,n,n,m,don't know,P,HUL31,n,n,n,n,n,y,y,n,n,n,"potato, lightbulb, battery, wire, research paper, beakers, asu",n,n,"desk, shelf",y,n,n,m,don't know,N
Hull ,HUL32,n,n,n,n,n,n,n,n,n,n,weird structures,n,n,desk,n,n,n,m,don't know,E,HUL32,n,y,n,n,y,n,n,n,n,n,n,n,n,desk,n,n,n,m,don't know,E,HUL32,n,n,n,n,n,y,y,n,n,n,"chemicals, fumes, bubbling",n,n,desk,y,n,n,m,don't know,P
Hull ,HUL33,n,y,n,n,y,y,n,n,n,n,"pencils, paper, stars",n,n,desk,n,n,n,m,don't know,P,HUL33,n,y,n,y,y,n,y,n,n,n,cacti,n,n,desk,n,n,n,f,don't know,"E,P",HUL33,y,n,n,y,n,n,n,n,n,n,"fan, colored fan blades, clipboard",n,n,desk,n,y(fan),n,f,don't know,P
Hull ,HUL34,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,don't know,N,HUL34,y,n,n,n,n,n,n,n,n,n,yes but can't really tell what it is,,n,desk,n,n,n,f,don't know,P,HUL34,n,y,n,y,n,y,y,n,n,n,"chemicals, fumes, graduated cylinder, boxes",y,n,bookcase,y,n,n,f,don't know,P
Hull ,HUL35,n,n,n,n,y,n,y,n,n,n,potion,n,n,shelves,n,n,n,m,don't know,P,HUL35,n,n,n,n,n,n,n,n,n,y,liquid nitrogen,n,n,n,n,n,n,m,don't know,P,HUL35,n,n,n,n,n,n,y,n,n,n,"mentos, pop rocks, soda, food",n,n,shelves,n,n,n,m,don't know,N
Hull ,HUL36,n,y,n,n,y,n,n,n,n,n,a house?,n,n,n,n,n,n,m,don't know,E,HUL36,n,n,n,n,y,n,n,n,n,n,van der Graff generator,n,n,n,n,n,n,f,don't know,E,HUL36,n,y,n,n,n,n,n,n,n,n,mutant creature,n,n,n,n,n,n,m,don't know,N
